,decile1b,decile3,decile1,lsat,ugpa,DOB_yr,fam_inc,tier,grad,fulltime,race1_asian,race1_black,race1_hisp,race1_other,race1_white,gender
6723,7.0,8.0,7.0,47.0,3.2,65.0,4.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
6784,7.0,6.0,7.0,40.0,3.2,68.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
20561,1.0,6.0,1.0,35.0,3.8,66.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
4269,7.0,7.0,7.0,40.0,3.3,68.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
19578,3.0,4.0,3.0,35.0,3.0,69.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
5938,3.0,4.0,3.0,44.0,3.3,68.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2118,4.0,7.0,4.0,45.0,3.4,63.0,4.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
9735,10.0,10.0,10.0,41.0,3.6,69.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
16773,7.0,7.0,7.0,38.0,3.1,55.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
10862,4.0,3.0,4.0,33.0,2.9,68.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
17081,1.0,3.0,2.0,32.5,3.1,65.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
5317,1.0,1.0,1.0,37.0,3.3,69.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
8276,10.0,9.0,10.0,42.0,2.4,41.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
20133,5.5284814690188915,5.525933759553911,5.708233638282899,26.0,2.6,62.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
12114,4.0,1.0,4.0,33.0,2.8,57.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
15459,3.0,2.0,3.0,36.0,2.7,69.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
16404,10.0,8.0,10.0,33.0,3.1,62.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
14655,6.0,4.0,6.0,44.0,3.7,69.0,2.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
