,decile1b,decile3,ID,decile1,sex,lsat,ugpa,zfygpa,grad,zgpa,fulltime,fam_inc,age,gender,male,race1,other,pass_bar,bar,tier,gpa
0,10.0,10.0,2,10.0,1.0,44.0,3.5,1.33,1,1.88,1.0,5.0,-62.0,0.0,0.0,white,0,1,a Passed 1st time,4.0,3.5
1,5.0,4.0,3,5.0,1.0,29.0,3.5,-0.11,1,-0.57,1.0,4.0,-62.0,0.0,0.0,white,0,1,a Passed 1st time,2.0,3.5
2,3.0,2.0,36,3.0,2.0,36.0,3.5,-0.64,1,-1.12,1.0,1.0,-58.0,1.0,1.0,white,0,1,a Passed 1st time,3.0,3.5
3,7.0,4.0,52,7.0,2.0,39.0,3.5,0.34,1,-0.49,1.0,4.0,-51.0,1.0,1.0,white,0,1,a Passed 1st time,3.0,3.5
4,9.0,8.0,55,9.0,2.0,48.0,3.5,1.02,1,0.76,1.0,4.0,-61.0,1.0,1.0,white,0,1,a Passed 1st time,5.0,3.5
5,3.0,5.0,72,3.0,1.0,40.0,3.5,-0.64,1,-0.12,1.0,4.0,-61.0,0.0,0.0,white,0,1,a Passed 1st time,3.0,3.5
6,9.0,7.0,74,9.0,1.0,34.0,3.5,0.96,1,0.45,1.0,3.0,-62.0,0.0,0.0,white,0,1,a Passed 1st time,3.0,3.5
7,10.0,10.0,89,10.0,2.0,40.0,3.5,1.34,1,1.41,2.0,2.0,-48.0,1.0,1.0,white,0,1,a Passed 1st time,3.0,3.5
8,4.0,2.0,109,4.0,2.0,40.0,3.5,-0.44,1,-1.01,1.0,4.0,-61.0,1.0,1.0,white,0,1,a Passed 1st time,5.0,3.5
9,7.0,5.0,143,7.0,1.0,28.0,3.5,0.48,1,-0.04,1.0,2.0,-62.0,0.0,0.0,hisp,0,0,c Failed,1.0,3.5
10,2.0,2.0,144,3.0,1.0,33.0,3.5,-0.84,1,-1.19,1.0,4.0,-65.0,0.0,0.0,white,0,0,c Failed,2.0,3.5
11,5.0,5.0,146,6.0,1.0,36.0,3.5,0.09,1,-0.01,1.0,3.0,-62.0,0.0,0.0,white,0,1,a Passed 1st time,4.0,3.5
12,5.0,4.0,158,5.0,2.0,34.0,3.5,-0.07,1,-0.38,1.0,3.4660457545890226,-62.0,1.0,1.0,white,0,1,a Passed 1st time,3.0,3.5
13,6.0,7.0,160,7.0,1.0,31.0,3.5,0.3,1,0.34,1.0,2.0,-62.0,0.0,0.0,white,0,1,a Passed 1st time,3.0,3.5
14,6.0,6.0,174,6.0,2.0,42.0,3.5,0.09,1,0.08,1.0,3.0,-61.0,1.0,1.0,white,0,1,a Passed 1st time,4.0,3.5
15,4.0,3.0,202,5.0,1.0,34.0,3.5,-0.2,1,-0.57,1.0,4.0,-63.0,0.0,0.0,white,0,1,a Passed 1st time,3.0,3.5
16,6.0,6.0,208,6.0,2.0,39.0,3.5,0.23,1,0.11,1.0,4.0,-62.0,1.0,1.0,asian,0,1,a Passed 1st time,5.0,3.5
17,5.0,3.0,213,5.0,1.0,33.0,3.5,-0.08,1,-0.6,1.0,4.0,-62.0,0.0,0.0,white,0,1,b Passed 2nd time,5.0,3.5
18,5.0,5.0,231,5.0,1.0,44.0,3.5,-0.15,1,-0.03,1.0,3.0,-54.0,0.0,0.0,white,0,1,a Passed 1st time,4.0,3.5
19,5.5284814690188915,5.525933759553911,268,5.708233638282899,1.0,39.0,3.5,0.08606777762218175,1,0.008756037503551469,1.0,3.0,-54.0,0.0,0.0,white,0,1,a Passed 1st time,3.0,3.5
20,3.0,6.0,269,3.0,1.0,32.0,3.5,-0.56,1,-0.01,1.0,3.0,-62.0,0.0,0.0,white,0,1,a Passed 1st time,3.0,3.5
21,1.0,1.0,319,1.0,1.0,30.0,3.5,-1.32,1,-1.51,1.0,3.0,-62.0,0.0,0.0,white,0,1,a Passed 1st time,3.0,3.5
22,5.0,5.0,326,5.0,1.0,36.0,3.5,-0.12,1,-0.06,1.0,3.0,-59.0,0.0,0.0,white,0,1,a Passed 1st time,4.0,3.5
23,7.0,7.0,328,8.0,1.0,38.0,3.5,0.55,1,0.46,1.0,3.0,-61.0,0.0,0.0,white,0,1,a Passed 1st time,3.0,3.5
24,9.0,9.0,337,10.0,2.0,35.0,3.5,1.26,1,0.98,1.0,4.0,-61.0,1.0,1.0,white,0,1,a Passed 1st time,3.0,3.5
25,8.0,8.0,350,8.0,1.0,31.0,3.5,0.61,1,0.7,1.0,3.0,-59.0,0.0,0.0,white,0,1,a Passed 1st time,2.0,3.5
26,3.0,4.0,377,3.0,2.0,47.0,3.5,-0.6,1,-0.37,1.0,4.0,-62.0,1.0,1.0,white,0,1,a Passed 1st time,6.0,3.5
27,7.0,5.0,381,8.0,1.0,40.0,3.5,0.53,1,-0.11,1.0,4.0,-67.0,0.0,0.0,white,0,1,a Passed 1st time,3.0,3.5
28,7.0,7.0,388,7.0,1.0,30.0,3.5,0.3,1,0.23,1.0,3.0,-61.0,0.0,0.0,white,0,1,b Passed 2nd time,2.0,3.5
29,10.0,10.0,389,10.0,2.0,34.0,3.5,1.75,1,3.15,1.0,3.0,-44.0,1.0,1.0,white,0,1,a Passed 1st time,3.0,3.5
